project_id,project_type,state,district,land_area_hectares,affected_families,documentation_completeness,approval_progress,compensation_progress,legal_dispute_count,pending_notifications,ownership_conflict_count,rehabilitation_progress,stakeholder_responsiveness,department_coordination_score,possession_progress,current_stage,days_elapsed,target_duration_days
LA-02372,Urban Development,Madhya Pradesh,Ujjain,13.47,93,71.22,100.0,78.68,3,3,2,49.19,100.0,76.35,83.96,Valuation,394,484
LA-01902,Power,Uttar Pradesh,Varanasi,5.0,71,76.77,35.59,56.2,1,2,0,39.16,89.73,62.83,44.7,Possession,442,483
LA-02054,Irrigation,Tamil Nadu,Coimbatore,6.94,37,44.75,52.15,62.35,0,1,0,54.14,59.7,74.95,56.21,Valuation,423,446
LA-00463,Industrial,Maharashtra,Thane,5.0,117,77.12,53.82,76.87,3,3,4,74.68,56.51,63.96,66.34,Valuation,422,503
LA-00344,Railway,Telangana,Karimnagar,27.31,41,68.96,80.02,42.39,0,3,0,98.53,92.48,83.79,67.1,Rehabilitation,244,520
LA-01984,Railway,Maharashtra,Nagpur,5.26,18,59.52,47.29,27.91,1,2,0,90.44,78.43,88.25,69.03,Valuation,517,402
LA-02432,Urban Development,Telangana,Khammam,8.49,89,99.69,60.21,76.29,1,5,0,100.0,92.68,40.96,59.43,Compensation,438,448
LA-01008,Urban Development,Maharashtra,Aurangabad,5.0,70,96.09,81.4,77.67,1,4,2,60.73,14.84,100.0,79.69,Possession,247,472
LA-01357,Highway,Uttar Pradesh,Prayagraj,5.0,59,81.89,64.41,49.02,0,4,1,69.47,48.3,48.3,55.69,Valuation,375,512
LA-01714,Power,Gujarat,Kutch,5.0,82,43.3,52.91,78.95,3,1,0,41.98,41.95,79.53,62.47,Valuation,479,564
LA-02380,Irrigation,Uttar Pradesh,Lucknow,6.37,40,78.87,69.71,47.37,0,3,2,21.25,76.16,68.13,68.68,Possession,278,526
LA-00158,Industrial,Gujarat,Kutch,18.88,4,90.05,54.8,70.32,1,0,1,96.84,54.86,91.06,77.56,Notification,379,488
LA-01098,Railway,Madhya Pradesh,Ujjain,5.36,1,73.04,65.75,61.59,0,5,1,36.54,100.0,65.28,52.08,Compensation,547,482
LA-01380,Industrial,Madhya Pradesh,Indore,5.5,36,69.57,42.0,72.36,2,2,0,78.22,39.35,52.85,76.18,Notification,378,440
LA-01330,Power,Telangana,Karimnagar,13.49,52,89.9,73.95,39.37,1,3,0,77.99,100.0,33.06,70.53,Valuation,227,497
LA-02031,Railway,Madhya Pradesh,Gwalior,37.37,108,92.16,57.59,50.71,2,6,1,79.92,100.0,37.08,76.46,Notification,338,567
LA-01578,Railway,Rajasthan,Ajmer,5.31,65,93.28,74.94,40.91,1,1,0,59.43,76.74,77.14,69.08,Compensation,367,436
LA-02347,Industrial,Telangana,Khammam,5.0,124,90.97,100.0,50.29,4,1,6,6.32,95.64,59.18,54.19,Notification,543,639
LA-00370,Railway,Tamil Nadu,Madurai,5.0,92,74.03,78.43,81.77,1,0,2,62.78,72.57,87.13,64.18,Valuation,300,445
LA-00668,Highway,Maharashtra,Aurangabad,27.33,116,39.98,76.49,96.11,5,1,3,59.59,71.8,78.43,67.86,Valuation,476,608
LA-01938,Irrigation,Rajasthan,Kota,5.07,81,84.26,38.51,69.37,6,4,0,64.88,76.74,55.19,54.44,Possession,519,560
LA-01287,Highway,Karnataka,Mysuru,5.0,21,69.77,80.14,96.31,1,4,0,66.02,74.21,72.46,84.96,Possession,154,508
LA-00454,Urban Development,Telangana,Warangal,5.0,77,75.25,76.62,80.49,3,5,3,74.62,61.36,95.63,91.44,Rehabilitation,330,532
LA-01607,Power,Tamil Nadu,Salem,5.65,180,98.26,84.62,71.04,2,1,2,59.69,67.49,58.83,78.95,Rehabilitation,388,554
LA-00778,Highway,Telangana,Warangal,18.41,46,84.03,25.65,82.73,0,1,1,86.34,14.57,78.87,66.18,Valuation,304,419
LA-02355,Industrial,Uttar Pradesh,Lucknow,5.0,81,48.28,62.47,93.38,4,2,1,84.61,73.57,76.94,88.63,Notification,363,560
LA-00924,Railway,Gujarat,Ahmedabad,10.22,106,52.59,94.14,66.63,2,0,1,78.31,78.55,90.96,78.99,Compensation,327,508
LA-00492,Highway,Maharashtra,Pune,5.39,7,79.59,89.67,58.88,0,3,0,10.56,74.84,70.45,68.77,Possession,131,489
LA-02269,Railway,Tamil Nadu,Chennai,14.55,92,69.85,65.33,36.19,3,2,2,64.87,65.88,54.08,39.79,Notification,414,495
LA-00110,Urban Development,Karnataka,Bengaluru,5.0,85,74.78,39.2,100.0,2,6,0,73.18,100.0,47.46,72.02,Notification,367,575
LA-01191,Irrigation,Maharashtra,Thane,8.15,82,94.08,91.79,79.31,1,4,4,68.47,61.44,60.37,89.66,Compensation,312,512
LA-00740,Urban Development,Telangana,Karimnagar,9.62,70,93.71,38.57,27.8,1,1,1,50.61,50.22,55.17,45.09,Valuation,308,459
LA-02402,Highway,Rajasthan,Ajmer,10.48,67,100.0,98.87,80.35,2,6,2,85.07,54.09,72.86,95.62,Possession,350,609
LA-01957,Industrial,Uttar Pradesh,Kanpur,5.0,57,74.26,52.56,87.18,0,3,4,55.15,53.84,76.43,57.53,Compensation,387,424
LA-00665,Railway,Madhya Pradesh,Ujjain,5.0,61,87.91,43.35,62.65,1,0,2,42.0,62.2,33.6,41.42,Rehabilitation,372,429
LA-00764,Power,Rajasthan,Jodhpur,33.29,136,80.15,67.33,57.17,4,6,1,80.67,39.12,94.77,64.3,Valuation,644,728
LA-01945,Power,Gujarat,Vadodara,9.49,147,84.27,64.64,58.13,9,5,1,23.61,64.07,89.19,69.03,Notification,555,665
LA-00871,Industrial,Gujarat,Surat,26.06,132,94.25,49.58,81.32,3,2,2,81.65,61.95,55.75,74.68,Possession,435,611
LA-00350,Industrial,Telangana,Nizamabad,5.0,75,64.71,72.48,100.0,0,4,1,50.65,81.74,56.35,70.31,Valuation,381,454
LA-00854,Railway,Maharashtra,Nashik,5.0,72,99.43,63.31,82.33,2,3,3,44.03,81.77,75.99,63.61,Notification,448,525
LA-00123,Industrial,Madhya Pradesh,Ujjain,5.41,148,59.25,77.18,42.27,2,1,3,72.83,53.81,47.35,57.15,Rehabilitation,637,532
LA-00927,Railway,Maharashtra,Pune,5.0,87,76.73,51.71,51.86,1,0,0,62.63,62.73,64.6,56.91,Rehabilitation,551,590
LA-00919,Irrigation,Karnataka,Bengaluru,5.0,60,70.53,45.23,70.82,2,2,1,57.03,54.31,92.84,70.39,Notification,426,610
LA-01548,Highway,Karnataka,Hubballi,5.0,143,86.34,54.91,70.43,3,3,2,61.69,29.59,91.66,70.43,Notification,332,529
LA-00680,Industrial,Uttar Pradesh,Prayagraj,12.62,41,75.02,51.31,79.61,1,1,0,48.64,46.39,43.16,58.53,Possession,324,488
LA-01668,Industrial,Madhya Pradesh,Ujjain,25.86,153,42.22,72.28,56.55,1,0,5,74.96,76.4,75.58,66.53,Rehabilitation,247,460
LA-00003,Power,Maharashtra,Thane,14.27,32,81.55,30.81,34.78,4,1,0,64.72,65.69,64.58,37.94,Rehabilitation,400,494
LA-02106,Power,Telangana,Nizamabad,11.53,140,78.51,84.91,68.29,4,3,6,53.92,69.37,68.67,68.86,Valuation,392,660
LA-01671,Power,Maharashtra,Aurangabad,15.42,94,61.97,68.74,60.49,4,2,3,49.43,75.76,89.57,74.53,Compensation,400,513
LA-01128,Urban Development,Uttar Pradesh,Prayagraj,6.82,103,88.46,73.12,64.35,1,1,3,29.58,42.31,80.15,74.99,Notification,429,579
LA-00226,Industrial,Tamil Nadu,Salem,22.45,86,100.0,66.78,33.76,3,1,1,66.77,64.55,53.61,76.74,Compensation,409,512
LA-01440,Power,Madhya Pradesh,Bhopal,5.0,74,62.84,80.31,90.51,3,2,5,54.15,79.63,36.22,51.48,Possession,399,635
LA-00670,Urban Development,Telangana,Nizamabad,5.0,1,92.72,43.21,82.22,0,3,2,44.69,81.9,55.02,67.14,Notification,316,431
LA-00671,Power,Karnataka,Belagavi,5.0,1,75.77,61.38,49.13,1,3,0,91.74,78.95,72.37,65.99,Rehabilitation,553,487
LA-02056,Power,Maharashtra,Aurangabad,28.42,170,77.35,82.48,100.0,2,7,5,49.09,85.01,41.84,87.25,Possession,385,565
LA-02156,Power,Uttar Pradesh,Varanasi,12.97,80,62.71,89.54,48.1,2,2,2,57.38,49.91,57.43,56.32,Rehabilitation,489,564
LA-00884,Highway,Karnataka,Bengaluru,5.57,52,82.97,67.3,60.86,2,2,1,64.97,77.7,78.94,65.25,Rehabilitation,561,579
LA-01932,Railway,Uttar Pradesh,Agra,15.12,56,79.22,85.57,56.58,0,1,3,0.16,93.24,79.42,64.97,Possession,427,499
LA-01828,Highway,Tamil Nadu,Tiruchirappalli,5.0,75,72.31,38.43,49.97,1,0,0,44.76,80.67,63.03,47.61,Rehabilitation,547,620
LA-01656,Highway,Uttar Pradesh,Agra,5.0,50,73.97,57.09,56.69,5,1,0,53.84,76.33,52.69,56.57,Valuation,369,596
LA-01009,Irrigation,Telangana,Hyderabad,6.78,84,93.26,88.59,4.81,3,3,1,53.47,86.0,43.46,72.23,Valuation,429,610
LA-01927,Irrigation,Maharashtra,Nagpur,5.0,8,62.33,66.8,94.55,2,2,0,48.37,63.53,91.08,60.26,Possession,423,482
LA-01480,Power,Tamil Nadu,Salem,10.2,90,63.76,88.57,52.77,1,1,2,40.21,65.74,57.97,58.43,Valuation,360,572
LA-00832,Highway,Tamil Nadu,Chennai,10.32,138,92.39,40.74,69.36,3,3,1,55.98,90.26,60.15,76.59,Possession,411,584
LA-01808,Urban Development,Gujarat,Rajkot,6.44,114,95.85,78.01,81.53,3,4,0,72.58,45.97,87.85,85.13,Rehabilitation,495,604
LA-02146,Irrigation,Gujarat,Kutch,9.31,109,70.55,100.0,11.32,0,2,0,49.29,75.23,55.71,59.7,Valuation,514,599
LA-00301,Railway,Uttar Pradesh,Varanasi,7.04,44,85.09,93.34,63.49,0,0,0,90.69,87.63,82.05,80.73,Valuation,76,362
LA-01733,Industrial,Gujarat,Vadodara,8.05,61,69.69,45.07,35.84,0,5,2,7.69,52.17,74.87,44.51,Valuation,394,431
LA-01611,Railway,Karnataka,Mysuru,5.0,127,89.63,77.13,78.28,2,3,5,89.68,60.59,57.63,85.35,Valuation,341,485
LA-00552,Urban Development,Madhya Pradesh,Bhopal,9.34,115,94.77,71.13,51.73,3,1,2,91.92,50.25,69.85,79.59,Notification,396,590
LA-01760,Urban Development,Madhya Pradesh,Indore,7.12,69,71.13,44.19,63.49,4,5,0,56.99,47.82,75.77,63.87,Possession,270,483
LA-00191,Railway,Madhya Pradesh,Gwalior,5.0,84,95.14,59.01,27.8,2,1,2,96.13,43.84,65.47,64.12,Compensation,368,632
LA-00294,Power,Karnataka,Belagavi,5.56,134,87.63,25.18,64.12,6,4,0,80.69,41.13,70.89,67.19,Notification,641,583
LA-01956,Irrigation,Maharashtra,Nagpur,8.09,26,78.86,61.78,46.44,0,3,0,50.67,53.33,86.8,56.27,Possession,381,407
LA-01964,Irrigation,Karnataka,Bengaluru,5.97,112,53.8,71.53,93.48,2,4,1,71.96,63.05,61.35,68.78,Valuation,453,542
LA-00411,Urban Development,Rajasthan,Kota,5.0,68,54.24,97.57,73.6,2,3,0,74.38,53.89,82.99,57.41,Notification,561,600
LA-00371,Railway,Maharashtra,Nashik,5.0,47,71.62,69.02,69.18,0,1,2,0.0,41.74,77.09,53.9,Compensation,286,445
LA-01137,Power,Madhya Pradesh,Gwalior,11.63,27,78.46,65.96,53.09,0,2,0,63.43,58.34,82.14,58.57,Notification,254,455
LA-02240,Irrigation,Telangana,Karimnagar,9.23,144,84.22,52.93,100.0,4,3,5,85.42,38.38,53.45,81.07,Notification,442,564
LA-00682,Highway,Tamil Nadu,Tiruchirappalli,5.0,100,100.0,54.23,44.86,3,2,3,0.0,62.13,76.28,54.69,Notification,419,483
LA-00711,Highway,Telangana,Nizamabad,10.87,111,86.04,72.03,79.33,1,7,1,1.95,88.34,81.29,71.65,Rehabilitation,266,475
LA-02414,Industrial,Karnataka,Belagavi,5.0,102,59.3,70.14,1.31,1,3,1,52.14,74.4,65.68,57.81,Possession,271,435
LA-00511,Irrigation,Uttar Pradesh,Prayagraj,12.0,66,60.33,52.63,30.27,1,3,2,29.67,68.75,67.26,64.23,Rehabilitation,429,419
LA-00093,Railway,Uttar Pradesh,Prayagraj,21.08,158,68.44,65.82,26.96,5,2,0,40.66,78.93,70.12,47.93,Rehabilitation,502,608
LA-00903,Power,Tamil Nadu,Coimbatore,11.68,156,70.5,53.52,52.45,5,3,3,28.01,78.19,80.94,65.29,Possession,478,650
LA-01834,Highway,Karnataka,Hubballi,10.02,48,85.65,63.05,72.2,1,1,0,48.56,76.43,100.0,65.4,Rehabilitation,299,518
LA-01203,Railway,Rajasthan,Ajmer,12.17,85,80.9,70.25,54.51,4,2,2,59.94,39.41,61.89,56.34,Notification,427,595
LA-02011,Railway,Gujarat,Surat,5.81,41,83.81,83.53,39.75,3,1,0,51.87,67.88,41.03,57.49,Valuation,109,481
LA-00094,Urban Development,Gujarat,Ahmedabad,26.55,97,81.89,74.79,83.89,2,5,1,23.05,38.27,66.97,65.87,Notification,383,428
LA-01888,Railway,Rajasthan,Jaipur,19.65,114,54.86,95.56,83.33,2,0,1,59.55,73.76,72.74,76.7,Notification,340,628
LA-01299,Irrigation,Uttar Pradesh,Varanasi,5.0,112,100.0,82.15,54.12,2,2,1,93.28,30.55,96.46,100.0,Notification,221,506
LA-02172,Railway,Karnataka,Mysuru,17.63,43,68.02,43.08,65.73,1,3,1,56.65,77.55,63.15,72.58,Valuation,383,505
LA-00857,Railway,Uttar Pradesh,Agra,5.0,76,90.34,99.85,84.0,5,3,1,42.69,43.73,85.54,87.15,Rehabilitation,313,553
LA-00431,Highway,Tamil Nadu,Coimbatore,5.93,22,87.63,57.03,16.56,0,7,0,51.09,61.95,79.56,44.48,Possession,242,400
LA-01690,Industrial,Gujarat,Ahmedabad,11.44,30,70.95,70.73,44.23,1,2,0,65.23,45.12,40.88,50.85,Compensation,397,530
LA-00658,Highway,Uttar Pradesh,Varanasi,22.43,134,73.98,58.87,44.97,4,2,2,14.32,78.81,42.76,37.43,Compensation,556,667
LA-01812,Highway,Madhya Pradesh,Gwalior,15.9,64,77.74,40.9,76.76,1,6,2,99.86,96.58,85.88,85.07,Rehabilitation,277,353
LA-02320,Urban Development,Gujarat,Surat,14.98,105,100.0,61.46,100.0,0,1,1,73.05,73.89,75.12,72.51,Valuation,167,517
LA-01809,Railway,Telangana,Nizamabad,29.18,61,52.1,54.33,69.1,0,5,0,61.77,54.82,82.67,49.14,Rehabilitation,596,609
LA-00550,Railway,Madhya Pradesh,Ujjain,5.99,117,84.9,68.6,46.46,6,0,3,69.13,81.81,76.29,68.37,Compensation,554,628
LA-00922,Irrigation,Uttar Pradesh,Lucknow,11.84,125,83.36,70.05,63.18,4,2,2,56.52,65.96,74.8,63.23,Rehabilitation,467,443
LA-01146,Power,Maharashtra,Nagpur,27.67,158,66.89,38.97,92.67,10,1,4,71.94,44.74,57.14,54.15,Possession,836,740
LA-01101,Urban Development,Uttar Pradesh,Prayagraj,5.82,74,86.15,41.03,72.11,1,3,0,43.41,46.84,60.21,75.99,Possession,546,520
LA-02095,Railway,Maharashtra,Pune,7.66,88,100.0,71.12,70.45,3,3,2,100.0,23.38,97.86,89.5,Rehabilitation,408,617
LA-01026,Railway,Telangana,Hyderabad,5.0,33,66.24,100.0,73.35,0,4,0,82.36,84.49,72.15,78.48,Valuation,56,405
LA-01874,Power,Karnataka,Belagavi,5.0,84,100.0,77.68,66.36,1,0,3,45.33,20.3,68.08,86.47,Valuation,379,413
LA-00270,Irrigation,Rajasthan,Jaipur,40.79,102,49.59,100.0,74.32,1,3,1,48.19,94.56,71.36,81.06,Rehabilitation,426,545
LA-01919,Urban Development,Tamil Nadu,Coimbatore,23.21,73,90.5,70.85,39.22,3,2,2,26.02,52.06,55.62,55.72,Possession,603,636
LA-00667,Power,Maharashtra,Thane,34.98,114,82.89,64.66,57.68,0,6,3,34.99,72.59,46.27,62.08,Compensation,419,549
LA-01817,Highway,Telangana,Hyderabad,9.04,110,54.84,43.09,52.39,5,1,2,60.08,49.17,91.95,56.71,Notification,502,522
LA-02346,Irrigation,Karnataka,Bengaluru,11.07,36,76.49,94.26,75.81,1,2,0,62.17,60.47,89.2,77.74,Valuation,471,607
LA-01829,Urban Development,Telangana,Nizamabad,10.9,41,62.15,50.95,29.46,1,3,2,57.73,44.75,64.37,41.6,Rehabilitation,394,536
LA-01613,Power,Uttar Pradesh,Varanasi,13.25,88,66.85,63.45,57.1,2,6,1,28.52,85.95,71.89,54.26,Valuation,646,567
LA-00638,Power,Tamil Nadu,Madurai,23.77,141,84.25,70.02,82.75,5,2,3,89.97,71.41,67.83,67.54,Rehabilitation,620,673
LA-01134,Irrigation,Madhya Pradesh,Jabalpur,38.67,146,89.85,74.11,63.12,3,4,2,49.57,52.7,85.18,72.82,Possession,582,706
LA-01201,Power,Telangana,Hyderabad,6.25,108,69.13,53.99,100.0,0,1,4,32.59,49.28,81.71,68.56,Valuation,446,544
LA-01514,Highway,Telangana,Warangal,6.84,130,55.64,57.96,59.61,1,1,1,84.14,57.47,66.15,59.52,Valuation,311,542
LA-02001,Power,Tamil Nadu,Coimbatore,5.34,76,87.13,64.24,95.61,2,2,0,61.33,100.0,59.48,87.24,Possession,369,588
LA-00269,Industrial,Karnataka,Bengaluru,5.0,114,78.33,42.21,55.57,0,6,1,73.0,67.43,72.14,64.27,Rehabilitation,395,450
LA-00985,Power,Karnataka,Belagavi,5.0,90,56.22,47.57,45.91,5,1,1,29.98,53.84,95.21,52.02,Rehabilitation,441,605
LA-01216,Highway,Maharashtra,Aurangabad,5.18,61,66.96,78.42,62.32,1,2,0,31.07,100.0,54.42,74.98,Valuation,414,485
LA-01535,Irrigation,Karnataka,Mangaluru,5.0,57,72.06,51.25,40.83,0,0,0,67.65,71.45,45.5,37.2,Possession,406,450
LA-01228,Urban Development,Tamil Nadu,Tiruchirappalli,6.52,34,94.69,95.7,39.84,0,4,0,39.86,67.11,73.51,60.21,Compensation,373,431
LA-02243,Industrial,Telangana,Khammam,11.45,80,62.12,62.72,85.81,1,3,0,44.09,64.36,43.87,60.03,Possession,308,575
LA-02401,Power,Rajasthan,Jodhpur,7.84,30,82.63,62.47,94.28,1,1,0,62.19,45.77,83.33,86.02,Valuation,270,425
LA-00258,Industrial,Tamil Nadu,Salem,8.59,72,100.0,50.31,54.07,0,2,0,75.71,69.86,89.52,70.27,Possession,358,502
LA-02091,Highway,Maharashtra,Nagpur,6.48,86,100.0,71.47,71.03,1,1,1,68.4,65.86,81.28,69.33,Rehabilitation,377,479
LA-00152,Highway,Telangana,Khammam,5.0,130,73.43,58.18,78.41,2,2,2,75.26,57.03,17.67,60.02,Possession,223,480
LA-02053,Power,Uttar Pradesh,Varanasi,5.0,86,71.92,64.04,45.58,2,3,0,30.52,50.14,84.13,56.59,Possession,286,478
LA-01624,Highway,Maharashtra,Nashik,5.0,107,93.41,90.36,63.89,1,2,2,55.28,41.84,46.57,71.91,Rehabilitation,366,579
LA-00408,Railway,Tamil Nadu,Tiruchirappalli,8.55,90,97.8,82.51,60.28,2,0,3,92.46,20.7,59.59,78.55,Rehabilitation,359,524
LA-01570,Highway,Uttar Pradesh,Lucknow,15.62,78,66.15,71.83,37.25,2,2,1,100.0,76.63,79.55,54.18,Notification,125,501
LA-00391,Irrigation,Maharashtra,Thane,5.0,33,24.65,67.26,38.88,1,1,1,61.44,96.23,84.14,51.4,Rehabilitation,354,603
LA-00603,Railway,Maharashtra,Pune,6.4,65,89.23,74.68,57.48,1,2,1,62.17,52.16,48.52,68.46,Rehabilitation,339,493
LA-00238,Highway,Madhya Pradesh,Indore,6.69,66,61.57,94.18,49.45,1,3,1,49.63,75.56,53.87,65.57,Rehabilitation,262,580
LA-02242,Power,Gujarat,Vadodara,5.0,13,84.33,83.91,71.54,1,4,0,86.37,55.35,50.86,71.15,Rehabilitation,241,455
LA-02012,Highway,Uttar Pradesh,Agra,6.78,119,56.25,51.66,35.36,2,1,1,62.13,86.5,42.26,48.35,Valuation,227,531
LA-02341,Power,Uttar Pradesh,Agra,32.82,74,71.45,63.01,50.11,1,2,0,52.69,100.0,79.81,48.96,Compensation,312,477
LA-02311,Power,Madhya Pradesh,Gwalior,5.0,1,20.46,70.96,35.0,0,0,0,78.37,77.54,50.37,47.63,Valuation,507,437
LA-01378,Urban Development,Maharashtra,Pune,7.19,122,100.0,61.04,50.28,1,1,3,53.99,49.09,49.73,50.46,Valuation,371,494
LA-01019,Irrigation,Madhya Pradesh,Indore,19.39,65,54.63,92.76,89.68,1,0,3,77.35,92.73,75.91,71.29,Notification,452,484
LA-00150,Industrial,Tamil Nadu,Salem,17.64,32,87.73,79.01,22.86,0,3,0,32.12,62.34,88.88,71.16,Valuation,265,451
LA-01598,Industrial,Karnataka,Belagavi,5.0,59,80.72,100.0,61.11,0,1,2,75.01,69.17,73.47,63.12,Possession,251,480
LA-01094,Industrial,Madhya Pradesh,Jabalpur,5.0,43,85.5,79.74,78.83,0,3,1,80.77,40.76,83.56,96.29,Rehabilitation,227,515
LA-00820,Railway,Karnataka,Bengaluru,12.29,36,81.11,70.21,63.13,0,1,1,84.45,100.0,83.52,76.21,Notification,327,456
LA-01524,Power,Karnataka,Belagavi,11.29,22,87.85,87.92,43.11,0,4,1,54.33,71.73,51.14,64.83,Possession,382,484
LA-00347,Highway,Gujarat,Surat,64.63,144,63.08,41.86,59.16,2,3,2,56.94,48.41,72.94,67.67,Valuation,493,546
LA-01231,Urban Development,Uttar Pradesh,Agra,7.63,98,96.19,65.06,94.11,3,7,3,68.78,48.77,51.93,79.91,Compensation,466,550
LA-00446,Highway,Tamil Nadu,Madurai,6.62,105,83.89,49.83,30.35,4,2,1,96.9,96.28,88.95,47.28,Notification,566,578
LA-01025,Irrigation,Uttar Pradesh,Agra,5.0,101,75.72,30.98,79.29,3,3,1,64.2,89.14,75.65,62.55,Valuation,318,506
LA-01608,Industrial,Telangana,Khammam,5.0,66,50.87,100.0,54.62,1,6,0,72.36,100.0,58.25,58.24,Valuation,345,472
LA-02392,Industrial,Madhya Pradesh,Indore,5.0,137,77.07,72.79,61.18,2,4,1,55.74,66.58,37.36,60.12,Valuation,424,512
LA-01910,Railway,Madhya Pradesh,Jabalpur,5.41,110,76.83,73.86,72.57,2,0,1,67.67,79.42,44.04,64.62,Possession,270,419
LA-02273,Highway,Rajasthan,Kota,5.0,55,64.75,66.19,40.93,0,1,1,24.41,52.28,52.67,50.79,Notification,485,546
LA-00383,Power,Madhya Pradesh,Jabalpur,5.0,119,64.2,46.34,65.92,3,1,4,17.81,98.54,100.0,81.58,Possession,579,498
LA-00154,Railway,Uttar Pradesh,Kanpur,11.16,66,98.1,79.64,48.69,1,5,2,93.63,45.17,100.0,73.34,Notification,118,412
LA-01152,Power,Tamil Nadu,Chennai,8.06,37,54.97,100.0,100.0,2,3,1,34.71,82.33,54.7,81.17,Possession,272,453
