project_id,project_type,state,district,land_area_hectares,affected_families,documentation_completeness,approval_progress,compensation_progress,legal_dispute_count,pending_notifications,ownership_conflict_count,rehabilitation_progress,stakeholder_responsiveness,department_coordination_score,possession_progress,current_stage,days_elapsed,target_duration_days,delay_status
LA-00028,Irrigation,Madhya Pradesh,Bhopal,9.15,51,78.81,52.79,55.54,0,4,0,84.15,56.46,73.06,65.98,Possession,519,510,0
LA-00029,Industrial,Maharashtra,Pune,5.0,56,84.71,61.58,70.38,2,3,0,100.0,68.37,100.0,81.83,Notification,397,496,0
LA-00030,Railway,Rajasthan,Udaipur,13.69,93,87.67,52.5,55.19,3,1,1,72.23,92.95,97.18,71.46,Possession,448,528,1
LA-00031,Highway,Telangana,Karimnagar,13.54,44,92.78,97.11,73.1,0,1,2,100.0,81.09,69.0,87.71,Possession,476,414,0
LA-00032,Industrial,Karnataka,Mangaluru,13.21,95,85.52,75.0,38.93,4,5,2,27.81,100.0,89.28,56.16,Notification,279,615,1
LA-00033,Power,Maharashtra,Thane,5.65,151,73.59,39.94,58.59,5,0,3,53.45,52.02,67.04,56.68,Compensation,418,607,0
LA-00034,Power,Tamil Nadu,Chennai,12.67,59,68.7,69.34,52.04,2,3,0,42.89,70.13,44.66,50.16,Compensation,530,451,1
LA-00035,Industrial,Rajasthan,Udaipur,5.0,43,79.68,67.39,75.01,0,1,3,34.72,46.38,81.09,73.42,Notification,346,455,0
LA-00036,Power,Karnataka,Mangaluru,6.37,21,64.12,96.32,25.43,0,2,2,78.15,39.74,69.32,72.27,Valuation,345,472,1
LA-00037,Urban Development,Maharashtra,Nagpur,41.44,149,67.41,61.64,35.65,1,2,4,62.42,100.0,98.27,52.29,Possession,473,599,1
LA-00038,Urban Development,Madhya Pradesh,Bhopal,5.0,99,65.66,73.74,47.38,1,3,3,45.32,39.87,59.64,59.22,Compensation,509,667,1
LA-00039,Railway,Gujarat,Kutch,8.53,65,100.0,69.05,29.73,3,2,1,50.39,66.51,81.17,62.34,Compensation,376,451,0
LA-00040,Industrial,Gujarat,Ahmedabad,17.54,70,88.76,39.47,62.73,0,6,1,79.64,70.68,44.71,64.66,Compensation,438,434,1
LA-00041,Irrigation,Madhya Pradesh,Indore,23.51,107,95.54,40.29,69.88,1,1,5,81.35,57.65,95.37,90.27,Valuation,269,512,1
LA-00042,Urban Development,Maharashtra,Pune,5.0,62,64.32,49.88,40.88,1,2,3,13.59,43.85,49.79,46.95,Rehabilitation,472,507,1
LA-00043,Highway,Rajasthan,Jodhpur,5.0,49,87.44,57.54,53.09,4,3,1,55.97,72.06,42.72,70.61,Rehabilitation,404,644,0
LA-00044,Urban Development,Rajasthan,Kota,9.66,43,79.78,35.03,36.34,1,2,1,81.22,48.99,100.0,54.56,Possession,465,463,1
LA-00045,Urban Development,Telangana,Warangal,8.95,94,93.86,78.43,72.92,5,2,1,77.16,92.13,55.3,78.38,Possession,371,551,0
LA-00046,Power,Madhya Pradesh,Jabalpur,7.67,113,55.05,99.9,68.7,5,2,2,66.4,59.97,37.42,77.14,Rehabilitation,385,553,1
LA-00047,Power,Tamil Nadu,Salem,25.85,98,68.56,100.0,32.14,2,1,2,7.23,81.0,68.21,71.02,Possession,206,483,0
LA-00048,Industrial,Maharashtra,Nashik,8.98,48,66.62,71.48,58.95,2,6,0,82.81,61.14,73.54,74.67,Valuation,477,504,1
LA-00049,Highway,Tamil Nadu,Chennai,5.0,75,50.95,81.29,50.04,1,0,1,83.9,36.32,83.69,74.4,Possession,278,528,0
LA-00050,Urban Development,Madhya Pradesh,Ujjain,5.0,99,100.0,52.47,64.83,0,1,3,53.54,66.28,95.19,77.27,Valuation,281,502,0
LA-00051,Highway,Maharashtra,Pune,5.0,125,79.95,89.0,59.65,3,0,1,91.61,61.59,77.63,81.71,Valuation,337,521,1
LA-00052,Highway,Gujarat,Rajkot,10.48,31,87.59,59.95,68.66,2,3,1,86.19,65.79,100.0,72.98,Notification,394,568,0
LA-00053,Urban Development,Madhya Pradesh,Jabalpur,14.02,94,87.06,44.92,94.29,1,2,1,78.65,67.49,91.11,82.39,Rehabilitation,391,497,0
LA-00054,Railway,Rajasthan,Ajmer,5.0,92,76.52,86.15,36.59,1,2,0,86.59,53.84,32.29,63.86,Possession,482,495,0
LA-00055,Industrial,Madhya Pradesh,Gwalior,5.59,60,72.53,100.0,72.4,2,1,0,70.32,82.55,70.94,84.65,Rehabilitation,329,507,0
LA-00056,Railway,Maharashtra,Pune,9.75,1,100.0,52.58,72.87,2,3,1,37.48,80.89,72.71,69.45,Rehabilitation,450,633,1
LA-00057,Irrigation,Telangana,Karimnagar,8.65,100,59.7,83.37,40.03,1,2,4,99.15,79.29,76.4,54.66,Rehabilitation,463,461,1
LA-00058,Power,Gujarat,Ahmedabad,12.28,77,80.13,66.54,64.34,2,2,0,33.69,39.2,73.05,58.37,Notification,599,591,0
LA-00059,Industrial,Tamil Nadu,Chennai,5.0,179,54.38,37.09,86.5,5,1,4,100.0,64.22,79.96,70.1,Valuation,317,553,0
LA-00060,Railway,Madhya Pradesh,Ujjain,5.0,117,51.3,50.21,84.7,2,2,3,36.42,63.51,74.03,73.14,Rehabilitation,341,544,0
LA-00061,Railway,Telangana,Warangal,5.89,95,86.49,44.07,89.29,2,3,1,52.78,51.29,100.0,64.19,Compensation,465,546,1
LA-00062,Industrial,Madhya Pradesh,Indore,6.66,133,100.0,39.26,69.89,3,5,1,95.03,34.29,40.79,70.66,Rehabilitation,288,494,0
LA-00063,Urban Development,Maharashtra,Pune,8.91,10,83.62,86.67,20.14,0,6,0,68.98,48.19,81.33,55.48,Possession,514,467,0
LA-00064,Highway,Maharashtra,Nashik,5.0,26,72.62,94.26,67.12,0,2,1,100.0,75.87,55.85,67.32,Valuation,306,356,0
LA-00065,Industrial,Uttar Pradesh,Varanasi,14.43,88,82.27,69.97,55.53,1,6,0,71.14,44.24,63.65,58.42,Valuation,470,596,0
LA-00066,Industrial,Gujarat,Surat,8.65,79,91.9,97.8,76.27,1,1,0,60.25,41.76,79.14,82.46,Rehabilitation,200,400,0
LA-00067,Highway,Telangana,Nizamabad,5.0,102,100.0,94.38,59.3,0,1,3,95.78,60.66,57.28,81.76,Rehabilitation,302,462,0
LA-00068,Irrigation,Telangana,Khammam,15.33,1,93.88,42.66,59.06,2,0,0,31.92,31.96,62.95,56.57,Rehabilitation,360,546,1
LA-00069,Railway,Madhya Pradesh,Jabalpur,7.3,104,80.03,50.54,90.32,0,1,2,56.2,40.56,40.96,78.08,Valuation,268,490,1
LA-00070,Highway,Gujarat,Rajkot,31.84,104,93.66,98.21,90.72,1,1,3,66.64,83.99,74.27,83.32,Notification,433,492,0
LA-00071,Highway,Uttar Pradesh,Prayagraj,5.0,100,98.16,84.38,85.91,2,1,3,41.84,97.11,100.0,88.83,Possession,268,565,0
LA-00072,Railway,Gujarat,Kutch,6.24,30,44.57,100.0,39.73,2,6,2,54.69,62.46,51.3,63.53,Notification,392,518,0
LA-00073,Railway,Maharashtra,Thane,5.0,102,99.05,70.43,70.79,2,5,1,100.0,84.57,53.32,87.0,Notification,337,505,0
LA-00074,Power,Madhya Pradesh,Gwalior,23.5,152,67.63,67.32,64.32,3,4,4,41.16,80.97,42.54,68.93,Notification,628,551,1
LA-00075,Urban Development,Madhya Pradesh,Ujjain,32.75,194,100.0,89.13,50.25,3,4,2,79.87,51.13,67.57,78.31,Possession,371,529,0
LA-00076,Highway,Maharashtra,Aurangabad,5.0,65,61.69,62.56,87.95,0,2,0,100.0,98.86,60.5,81.53,Possession,256,369,0
LA-00077,Urban Development,Tamil Nadu,Madurai,11.14,59,58.11,12.55,63.39,2,2,3,100.0,66.0,66.33,48.8,Valuation,368,466,1
LA-00078,Power,Tamil Nadu,Coimbatore,5.0,52,77.76,72.03,39.12,1,4,1,17.69,47.47,84.3,46.67,Compensation,309,510,1
LA-00079,Industrial,Rajasthan,Kota,5.0,61,70.75,59.16,77.93,2,2,2,49.21,46.56,17.42,62.27,Rehabilitation,217,566,1
LA-00080,Irrigation,Maharashtra,Pune,38.32,178,78.97,57.06,62.7,2,2,7,44.92,80.05,68.9,56.11,Rehabilitation,554,599,0
LA-00081,Urban Development,Maharashtra,Pune,5.25,127,79.93,41.23,84.22,5,3,4,43.96,57.07,60.72,65.65,Possession,450,632,0
LA-00082,Railway,Karnataka,Mysuru,8.7,81,100.0,68.41,73.95,2,0,2,34.5,76.57,55.5,72.56,Compensation,406,540,1
LA-00083,Highway,Madhya Pradesh,Jabalpur,21.19,90,41.93,57.84,92.53,1,2,1,59.45,54.75,33.47,68.56,Compensation,297,599,0
LA-00084,Railway,Uttar Pradesh,Prayagraj,19.69,52,83.51,46.42,90.13,0,3,2,48.85,72.02,51.99,60.87,Compensation,415,521,0
LA-00085,Urban Development,Gujarat,Kutch,5.0,113,82.64,83.01,42.74,4,2,0,63.6,74.64,73.43,72.2,Compensation,425,539,1
LA-00086,Power,Maharashtra,Nashik,12.09,124,69.05,83.19,55.5,1,1,2,68.15,55.08,51.03,57.14,Compensation,617,588,0
LA-00087,Highway,Maharashtra,Thane,7.9,58,65.53,70.72,71.65,0,2,3,87.92,31.8,57.62,82.63,Valuation,378,462,0
LA-00088,Irrigation,Karnataka,Mangaluru,5.0,149,90.62,71.51,28.76,7,2,0,54.09,51.14,62.27,52.01,Valuation,435,542,1
LA-00089,Power,Tamil Nadu,Coimbatore,6.27,77,96.44,58.45,74.56,2,1,0,100.0,70.07,31.08,70.96,Compensation,379,584,0
LA-00090,Urban Development,Uttar Pradesh,Agra,5.0,88,86.65,38.38,83.69,1,2,1,48.41,70.94,54.01,60.61,Notification,417,600,0
LA-00091,Highway,Telangana,Nizamabad,5.0,139,76.32,70.38,79.58,4,0,1,65.6,67.34,66.25,71.67,Notification,278,464,1
LA-00092,Highway,Tamil Nadu,Coimbatore,5.0,114,99.88,79.42,82.6,2,6,3,100.0,53.09,52.24,94.31,Compensation,193,520,1
LA-00093,Railway,Uttar Pradesh,Prayagraj,21.08,158,68.44,65.82,26.96,5,2,0,40.66,78.93,70.12,47.93,Rehabilitation,502,608,1
LA-00094,Urban Development,Gujarat,Ahmedabad,26.55,97,81.89,74.79,83.89,2,5,1,23.05,38.27,66.97,65.87,Notification,383,428,0
LA-00095,Power,Rajasthan,Ajmer,6.27,182,82.96,87.99,100.0,2,2,6,87.06,73.38,63.82,92.05,Notification,357,545,0
LA-00096,Irrigation,Rajasthan,Udaipur,7.09,13,63.67,82.8,48.04,0,6,1,65.77,19.61,90.98,66.54,Valuation,424,454,0
LA-00097,Highway,Karnataka,Hubballi,7.28,61,97.11,88.95,47.0,1,2,1,69.77,57.29,85.42,78.3,Notification,400,541,0
LA-00098,Irrigation,Madhya Pradesh,Bhopal,19.03,108,96.19,69.47,44.6,1,1,2,56.09,53.1,70.54,69.04,Notification,342,502,0
LA-00099,Irrigation,Telangana,Khammam,5.0,41,64.92,51.2,82.25,0,2,2,55.35,50.91,76.03,66.98,Valuation,587,533,0
LA-00100,Railway,Rajasthan,Jodhpur,8.6,116,61.45,79.53,75.12,2,2,1,85.45,100.0,55.2,81.7,Rehabilitation,350,539,0
LA-00101,Highway,Rajasthan,Kota,5.0,126,73.36,54.45,80.03,5,2,3,48.28,87.31,92.25,70.41,Rehabilitation,371,598,1
LA-00102,Power,Madhya Pradesh,Jabalpur,19.36,111,75.88,13.35,64.37,2,4,3,25.4,63.81,87.48,63.78,Valuation,339,502,1
LA-00103,Power,Maharashtra,Aurangabad,5.0,149,62.69,82.77,56.77,1,1,2,74.48,37.49,49.59,63.99,Notification,353,378,0
LA-00104,Industrial,Madhya Pradesh,Bhopal,7.48,79,87.3,46.38,88.52,2,0,2,77.17,82.36,87.66,70.03,Rehabilitation,303,392,0
LA-00105,Irrigation,Karnataka,Mysuru,8.49,91,74.21,99.8,28.78,0,1,2,40.12,68.42,74.15,51.77,Valuation,343,461,0
LA-00106,Highway,Madhya Pradesh,Gwalior,11.54,98,71.72,44.04,98.72,2,3,0,31.92,84.97,50.4,62.49,Compensation,459,536,0
LA-00107,Irrigation,Maharashtra,Nagpur,6.35,61,74.93,97.46,15.34,0,1,0,96.8,59.42,80.59,54.03,Compensation,592,510,0
LA-00108,Power,Telangana,Khammam,5.0,100,68.12,70.53,76.59,3,2,1,57.96,43.13,47.49,71.48,Compensation,382,597,0
LA-00109,Highway,Maharashtra,Nagpur,7.27,56,64.47,76.78,47.32,2,4,2,22.41,54.31,84.23,43.3,Valuation,379,565,1
LA-00110,Urban Development,Karnataka,Bengaluru,5.0,85,74.78,39.2,100.0,2,6,0,73.18,100.0,47.46,72.02,Notification,367,575,0
LA-00111,Urban Development,Telangana,Nizamabad,5.04,119,95.63,84.81,43.05,3,0,1,70.14,54.49,70.61,60.88,Compensation,434,487,0
LA-00112,Industrial,Maharashtra,Aurangabad,10.7,35,57.63,87.27,76.75,4,2,1,48.95,45.29,78.65,68.07,Possession,423,569,0
LA-00113,Railway,Karnataka,Bengaluru,5.43,87,100.0,100.0,77.35,5,4,1,55.6,89.16,86.88,89.65,Rehabilitation,133,574,0
LA-00114,Highway,Madhya Pradesh,Jabalpur,5.0,62,76.78,39.64,56.15,2,3,2,81.37,79.5,61.38,52.78,Rehabilitation,414,554,1
LA-00115,Highway,Tamil Nadu,Tiruchirappalli,17.98,178,79.19,57.2,41.95,5,3,1,33.56,78.82,67.24,64.98,Compensation,407,690,1
LA-00116,Power,Maharashtra,Nagpur,5.0,32,61.73,76.88,62.93,0,2,1,60.79,52.83,36.77,54.56,Possession,245,379,1
LA-00117,Irrigation,Telangana,Nizamabad,15.78,31,79.49,77.92,62.17,0,3,0,64.46,91.8,88.25,60.36,Rehabilitation,469,533,0
LA-00118,Power,Karnataka,Mangaluru,9.22,128,97.88,65.41,63.04,4,2,0,23.25,78.29,54.44,60.47,Valuation,474,594,0
LA-00119,Railway,Telangana,Karimnagar,29.95,168,56.03,83.79,52.93,3,1,2,66.32,100.0,64.59,77.79,Valuation,479,657,0
LA-00120,Urban Development,Karnataka,Belagavi,8.72,119,93.08,54.73,64.83,3,5,3,76.4,63.81,60.11,74.45,Possession,364,533,1
LA-00121,Highway,Karnataka,Hubballi,13.94,85,82.29,62.48,100.0,1,1,0,35.56,83.81,76.12,79.28,Valuation,351,573,0
LA-00122,Industrial,Tamil Nadu,Salem,5.0,1,87.06,90.98,53.73,2,4,0,43.97,88.11,73.15,93.37,Rehabilitation,268,506,0
LA-00123,Industrial,Madhya Pradesh,Ujjain,5.41,148,59.25,77.18,42.27,2,1,3,72.83,53.81,47.35,57.15,Rehabilitation,637,532,1
LA-00124,Power,Rajasthan,Jaipur,5.0,81,85.57,28.16,95.08,2,4,0,92.2,21.39,53.34,72.27,Compensation,292,467,0
LA-00125,Urban Development,Tamil Nadu,Chennai,6.65,85,32.36,75.19,62.99,3,0,5,41.64,89.93,58.74,47.05,Valuation,372,527,0
LA-00126,Power,Karnataka,Mysuru,5.13,63,93.99,79.92,64.97,0,4,1,64.6,56.81,47.42,58.61,Valuation,311,471,0
LA-00127,Railway,Gujarat,Ahmedabad,12.44,33,74.57,69.87,77.17,1,6,1,76.04,53.59,79.52,76.34,Valuation,361,483,0
LA-00128,Industrial,Maharashtra,Aurangabad,23.41,106,94.0,49.35,72.75,1,1,1,100.0,63.64,70.28,81.02,Rehabilitation,450,479,0
LA-00129,Power,Madhya Pradesh,Gwalior,15.51,39,79.67,68.94,32.72,0,2,1,86.52,88.89,79.67,69.63,Rehabilitation,293,527,1
LA-00130,Industrial,Madhya Pradesh,Bhopal,7.01,94,51.4,71.91,58.2,6,1,0,76.3,61.96,83.62,72.04,Notification,349,527,0
LA-00131,Highway,Telangana,Warangal,5.0,104,57.58,83.84,93.37,0,6,4,75.11,78.0,44.81,78.54,Valuation,307,375,1
LA-00132,Power,Uttar Pradesh,Lucknow,8.16,133,97.91,81.17,60.47,4,2,4,60.03,42.46,97.97,83.65,Possession,427,602,0
LA-00133,Railway,Maharashtra,Aurangabad,5.0,61,49.87,80.78,67.32,1,0,0,78.37,51.85,67.32,77.18,Valuation,376,512,0
LA-00134,Industrial,Tamil Nadu,Salem,5.62,105,64.33,87.91,50.11,3,1,4,66.08,84.41,58.01,63.85,Possession,317,507,1
LA-00135,Power,Telangana,Khammam,6.02,66,76.95,79.59,83.24,1,1,0,44.41,95.39,49.51,67.46,Rehabilitation,459,520,0
LA-00136,Railway,Uttar Pradesh,Varanasi,6.55,61,83.12,73.68,100.0,1,1,0,68.4,47.92,48.65,59.87,Compensation,557,530,0
LA-00137,Railway,Karnataka,Mangaluru,10.13,1,73.26,86.9,62.92,1,4,0,26.28,99.26,65.07,63.35,Rehabilitation,515,456,1
LA-00138,Power,Madhya Pradesh,Jabalpur,6.51,1,92.68,52.15,72.85,0,1,1,29.0,73.82,50.11,62.43,Rehabilitation,355,529,0
LA-00139,Highway,Karnataka,Mysuru,10.19,103,86.84,50.44,48.99,2,0,4,43.76,26.26,59.48,55.57,Compensation,298,480,1
LA-00140,Irrigation,Tamil Nadu,Tiruchirappalli,6.36,149,74.5,69.11,37.29,5,1,5,100.0,39.98,71.01,61.19,Notification,492,669,1
LA-00141,Railway,Rajasthan,Jodhpur,5.0,90,52.21,85.01,54.84,3,3,2,32.88,98.68,72.48,55.72,Rehabilitation,417,467,0
LA-00142,Power,Rajasthan,Jodhpur,5.0,115,70.26,52.22,85.02,3,2,3,81.03,97.45,50.28,71.18,Notification,432,547,0
LA-00143,Industrial,Telangana,Nizamabad,19.39,128,85.93,100.0,43.12,6,1,3,100.0,72.59,100.0,80.32,Possession,402,504,0
LA-00144,Industrial,Telangana,Hyderabad,6.11,118,79.8,95.27,45.38,5,0,2,73.04,72.0,49.66,87.1,Valuation,473,674,0
LA-00145,Industrial,Telangana,Khammam,5.0,102,76.88,79.01,54.52,0,2,1,56.49,30.69,88.52,72.83,Notification,173,526,0
LA-00146,Urban Development,Telangana,Karimnagar,5.0,7,29.85,60.98,76.14,1,3,2,88.81,58.74,69.52,62.2,Notification,278,403,0
LA-00147,Irrigation,Karnataka,Belagavi,5.62,84,61.63,65.87,77.42,1,2,3,63.77,58.7,64.8,59.67,Rehabilitation,413,400,1
LA-00148,Urban Development,Madhya Pradesh,Gwalior,5.0,90,72.34,68.13,52.35,3,7,3,23.65,74.43,74.21,56.28,Valuation,497,612,0
LA-00149,Irrigation,Telangana,Karimnagar,12.48,63,100.0,16.71,78.8,1,1,3,17.65,94.16,48.78,63.56,Notification,364,476,1
LA-00150,Industrial,Tamil Nadu,Salem,17.64,32,87.73,79.01,22.86,0,3,0,32.12,62.34,88.88,71.16,Valuation,265,451,0
LA-00151,Industrial,Rajasthan,Ajmer,5.0,71,79.42,59.6,56.11,1,2,1,58.04,68.83,77.97,71.66,Possession,353,440,1
LA-00152,Highway,Telangana,Khammam,5.0,130,73.43,58.18,78.41,2,2,2,75.26,57.03,17.67,60.02,Possession,223,480,0
LA-00153,Power,Gujarat,Ahmedabad,12.02,116,75.08,66.61,46.26,2,0,2,27.71,41.66,83.97,50.53,Rehabilitation,277,497,0
LA-00154,Railway,Uttar Pradesh,Kanpur,11.16,66,98.1,79.64,48.69,1,5,2,93.63,45.17,100.0,73.34,Notification,118,412,0
LA-00155,Irrigation,Telangana,Nizamabad,15.52,113,100.0,75.91,78.6,2,3,3,42.62,82.71,100.0,65.7,Valuation,313,513,0
LA-00156,Industrial,Tamil Nadu,Madurai,13.54,49,90.07,91.46,71.16,1,1,0,53.13,25.7,50.72,88.59,Rehabilitation,275,422,0
LA-00157,Irrigation,Telangana,Nizamabad,27.05,190,64.86,70.01,68.32,4,4,4,40.85,50.38,57.18,71.93,Notification,476,706,1
LA-00158,Industrial,Gujarat,Kutch,18.88,4,90.05,54.8,70.32,1,0,1,96.84,54.86,91.06,77.56,Notification,379,488,0
LA-00159,Irrigation,Madhya Pradesh,Indore,22.98,26,54.39,58.1,57.78,0,2,0,45.14,93.54,76.08,48.54,Notification,499,417,1
LA-00160,Highway,Madhya Pradesh,Bhopal,18.35,50,83.55,100.0,79.46,2,2,0,84.86,84.39,100.0,80.98,Notification,363,497,0
LA-00161,Urban Development,Rajasthan,Jodhpur,5.0,79,98.07,100.0,78.46,1,3,4,29.51,95.99,45.84,63.62,Valuation,418,496,1
LA-00162,Industrial,Maharashtra,Thane,6.09,60,75.36,85.32,86.23,2,3,2,89.37,44.5,66.74,77.96,Valuation,295,437,0
LA-00163,Industrial,Karnataka,Hubballi,5.0,15,65.95,100.0,52.43,2,2,0,64.27,32.07,96.83,68.12,Valuation,240,469,1
LA-00164,Urban Development,Maharashtra,Nashik,12.69,182,98.24,74.25,86.59,4,1,3,86.54,56.72,91.64,88.54,Compensation,293,600,0
LA-00165,Highway,Gujarat,Rajkot,8.64,75,85.41,19.36,79.01,4,2,1,63.03,100.0,55.02,54.66,Possession,510,542,0
LA-00166,Power,Telangana,Karimnagar,5.0,90,98.54,92.83,51.69,3,3,2,90.46,72.26,72.62,73.04,Valuation,526,548,1
LA-00167,Highway,Madhya Pradesh,Indore,5.0,66,69.21,59.04,52.16,1,3,1,56.74,70.53,56.78,65.93,Compensation,425,509,1
LA-00168,Power,Maharashtra,Thane,11.91,63,74.28,68.17,62.22,0,4,1,61.25,46.79,90.76,80.74,Notification,74,470,0
LA-00169,Irrigation,Telangana,Nizamabad,8.07,102,62.43,92.69,33.34,0,3,2,46.41,50.05,46.38,60.48,Notification,326,482,0
LA-00170,Urban Development,Tamil Nadu,Chennai,5.0,98,68.93,94.42,44.71,3,2,2,100.0,33.05,52.62,83.28,Rehabilitation,220,508,1
LA-00171,Industrial,Maharashtra,Aurangabad,18.43,14,57.94,75.27,100.0,0,2,0,27.4,74.62,96.12,83.07,Compensation,386,408,0
LA-00172,Power,Uttar Pradesh,Kanpur,23.88,80,67.6,100.0,31.57,0,3,2,15.66,70.39,53.96,54.56,Rehabilitation,638,558,0
LA-00173,Railway,Karnataka,Mangaluru,8.88,129,81.81,88.08,57.46,4,1,3,91.49,53.5,73.6,64.38,Possession,369,581,0
LA-00174,Industrial,Uttar Pradesh,Varanasi,19.03,196,52.85,95.18,89.22,2,2,4,36.64,88.14,84.25,82.91,Possession,193,536,1
LA-00175,Irrigation,Tamil Nadu,Coimbatore,12.86,118,61.24,64.32,90.28,2,3,1,81.47,51.33,58.51,74.22,Notification,501,549,1
LA-00176,Irrigation,Uttar Pradesh,Kanpur,5.0,31,77.4,53.78,39.49,0,4,2,66.21,72.25,100.0,61.9,Rehabilitation,311,405,0
LA-00177,Urban Development,Telangana,Nizamabad,19.19,36,90.43,81.81,60.87,1,4,0,68.13,69.46,67.3,82.13,Notification,219,493,0
LA-00178,Industrial,Tamil Nadu,Coimbatore,19.75,97,100.0,52.8,100.0,1,6,2,69.09,75.56,71.31,80.76,Rehabilitation,362,443,0
LA-00179,Railway,Tamil Nadu,Madurai,10.37,84,53.59,43.68,70.18,3,2,0,8.82,87.91,100.0,43.23,Compensation,319,434,1
LA-00180,Irrigation,Karnataka,Mangaluru,17.39,16,73.15,71.69,100.0,1,2,0,81.52,34.56,44.64,74.55,Notification,417,516,0
LA-00181,Urban Development,Madhya Pradesh,Indore,5.0,67,40.99,73.57,95.43,1,0,1,24.62,65.87,61.83,61.55,Valuation,602,565,0
LA-00182,Power,Telangana,Karimnagar,7.56,91,77.62,76.44,63.76,3,2,1,40.49,84.47,60.54,73.27,Possession,262,478,1
